song,artist,mood,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,spotify_url
Something Just Like This,The Chainsmokers & Coldplay,Happy,0.22,0.398,0.104,0.065,0.446,0.39,0.389,
Ride,Twenty One Pilots,Romantic,0.218,0.255,0.593,0.071,0.916,0.238,0.261,
Sunflower,Post Malone & Swae Lee,Calm,0.824,0.734,0.668,0.083,0.498,0.249,0.077,
Circles,Post Malone,Romantic,0.405,0.835,0.153,0.113,0.647,0.102,0.076,
Rockstar,Post Malone,Sad,0.589,0.19,0.395,0.022,0.303,0.296,0.383,
Congratulations,Post Malone,Calm,0.424,0.313,0.461,0.068,0.738,0.093,0.154,
HUMBLE.,Kendrick Lamar,Energetic,0.906,0.226,0.382,0.089,0.737,0.166,0.082,
DNA.,Kendrick Lamar,Calm,0.394,0.41,0.159,0.092,0.5,0.428,0.26,
Alright,Kendrick Lamar,Energetic,0.522,0.501,0.427,0.089,0.927,0.104,0.268,
SICKO MODE,Travis Scott,Energetic,0.855,0.766,0.726,0.033,0.128,0.036,0.277,
Goosebumps,Travis Scott,Calm,0.831,0.68,0.114,0.05,0.026,0.035,0.144,
Highest in the Room,Travis Scott,Energetic,0.34,0.653,0.122,0.056,0.734,0.47,0.055,
Bad and Boujee,Migos,Energetic,0.802,0.414,0.369,0.1,0.769,0.253,0.388,
Mask Off,Future,Sad,0.544,0.849,0.898,0.048,0.123,0.205,0.138,
Life Is Good,Future & Drake,Romantic,0.562,0.519,0.652,0.041,0.26,0.405,0.287,
God’s Plan,Drake,Romantic,0.3,0.971,0.661,0.116,0.026,0.418,0.297,
Hotline Bling,Drake,Sad,0.26,0.664,0.376,0.021,0.286,0.166,0.264,
One Dance,Drake,Calm,0.746,0.212,0.584,0.12,0.737,0.347,0.16,
In My Feelings,Drake,Happy,0.572,0.702,0.059,0.088,0.497,0.386,0.145,
Nonstop,Drake,Happy,0.528,0.389,0.622,0.103,0.337,0.327,0.259,
Waka Waka,Shakira,Happy,0.747,0.711,0.872,0.049,0.359,0.076,0.353,
Hips Don’t Lie,Shakira,Sad,0.774,0.162,0.601,0.021,0.011,0.438,0.381,
On the Floor,Jennifer Lopez,Sad,0.319,0.256,0.836,0.094,0.292,0.27,0.087,
Dance Again,Jennifer Lopez,Energetic,0.658,0.862,0.702,0.103,0.618,0.141,0.104,
Mi Gente,J Balvin,Happy,0.302,0.302,0.159,0.094,0.926,0.213,0.381,
Despacito,Luis Fonsi & Daddy Yankee,Calm,0.764,0.845,0.862,0.034,0.806,0.019,0.308,
Tusa,KAROL G & Nicki Minaj,Calm,0.693,0.349,0.11,0.095,0.032,0.064,0.359,
Unholy,Sam Smith & Kim Petras,Happy,0.917,0.672,0.531,0.097,0.855,0.383,0.121,
Stay With Me,Sam Smith,Happy,0.252,0.718,0.178,0.086,0.746,0.0,0.256,
I'm Not the Only One,Sam Smith,Happy,0.243,0.556,0.061,0.097,0.744,0.208,0.295,
Demons,Imagine Dragons,Sad,0.412,0.372,0.43,0.105,0.441,0.261,0.288,
Whatever It Takes,Imagine Dragons,Sad,0.396,0.289,0.316,0.081,0.384,0.027,0.193,
Enemy,Imagine Dragons & JID,Sad,0.385,0.13,0.487,0.029,0.295,0.487,0.055,
Locked Out of Heaven,Bruno Mars,Romantic,0.88,0.371,0.569,0.069,0.072,0.113,0.254,
Grenade,Bruno Mars,Calm,0.387,0.681,0.089,0.028,0.225,0.152,0.139,
24K Magic,Bruno Mars,Calm,0.404,0.935,0.161,0.061,0.242,0.152,0.208,
Just the Way You Are,Bruno Mars,Energetic,0.77,0.875,0.553,0.061,0.465,0.115,0.385,
Talking to the Moon,Bruno Mars,Sad,0.537,0.782,0.359,0.027,0.713,0.001,0.19,
Let Her Go,Passenger,Romantic,0.783,0.802,0.706,0.055,0.455,0.365,0.344,
Say You Won’t Let Go,James Arthur,Romantic,0.249,0.692,0.637,0.031,0.064,0.483,0.116,
Until I Found You,Stephen Sanchez,Calm,0.566,0.332,0.811,0.101,0.91,0.112,0.285,
Lovely,Billie Eilish & Khalid,Sad,0.225,0.907,0.673,0.115,0.896,0.332,0.392,
Ocean Eyes,Billie Eilish,Energetic,0.247,0.697,0.437,0.027,0.748,0.371,0.086,
When the Party’s Over,Billie Eilish,Sad,0.88,0.599,0.656,0.116,0.942,0.424,0.053,
Treasure,Bruno Mars,Happy,0.304,0.199,0.298,0.072,0.522,0.211,0.202,
When I Was Your Man,Bruno Mars,Sad,0.599,0.498,0.326,0.05,0.915,0.151,0.082,
Wake Me Up,Avicii,Happy,0.508,0.51,0.76,0.028,0.081,0.163,0.312,
Levels,Avicii,Happy,0.461,0.869,0.452,0.07,0.354,0.356,0.37,
Waiting for Love,Avicii,Energetic,0.875,0.587,0.769,0.099,0.222,0.408,0.202,
The Nights,Avicii,Calm,0.216,0.439,0.79,0.091,0.194,0.091,0.141,
Titanium,David Guetta & Sia,Sad,0.698,0.969,0.822,0.025,0.142,0.185,0.202,
Memories,David Guetta,Happy,0.923,0.199,0.875,0.027,0.595,0.451,0.303,
Play Hard,David Guetta,Sad,0.62,0.476,0.438,0.06,0.744,0.403,0.053,
Animals,Martin Garrix,Calm,0.903,0.137,0.337,0.05,0.554,0.492,0.256,
Scared to Be Lonely,Martin Garrix,Calm,0.239,0.759,0.574,0.043,0.148,0.377,0.265,
In the Name of Love,Martin Garrix & Bebe Rexha,Romantic,0.514,0.917,0.384,0.048,0.772,0.197,0.273,
Faded,Alan Walker,Calm,0.395,0.349,0.591,0.1,0.608,0.295,0.135,
Darkside,Alan Walker,Energetic,0.748,0.864,0.685,0.113,0.375,0.331,0.3,
Alone,Alan Walker,Happy,0.936,0.36,0.67,0.061,0.644,0.039,0.082,
Lily,Alan Walker,Romantic,0.392,0.911,0.387,0.111,0.254,0.272,0.12,
On My Way,Alan Walker,Energetic,0.691,0.771,0.2,0.052,0.334,0.355,0.357,
Don't Start Now,Dua Lipa,Sad,0.349,0.816,0.437,0.068,0.872,0.084,0.309,
New Rules,Dua Lipa,Happy,0.624,0.116,0.178,0.043,0.283,0.39,0.055,
Break My Heart,Dua Lipa,Calm,0.548,0.957,0.851,0.084,0.452,0.292,0.137,
IDGAF,Dua Lipa,Happy,0.929,0.747,0.361,0.118,0.847,0.476,0.125,
Stitches,Shawn Mendes,Sad,0.656,0.371,0.189,0.08,0.675,0.021,0.145,
Treat You Better,Shawn Mendes,Romantic,0.462,0.838,0.073,0.056,0.068,0.133,0.137,
Señorita,Shawn Mendes & Camila Cabello,Romantic,0.286,0.351,0.631,0.085,0.148,0.301,0.072,
Havana,Camila Cabello,Romantic,0.313,0.877,0.623,0.032,0.017,0.148,0.211,
Rockabye,Clean Bandit,Calm,0.369,0.2,0.357,0.109,0.603,0.357,0.306,
Symphony,Clean Bandit,Energetic,0.388,0.726,0.115,0.07,0.431,0.38,0.262,
Rather Be,Clean Bandit,Energetic,0.838,0.581,0.419,0.065,0.136,0.051,0.286,
Baby,Clean Bandit & Marina,Happy,0.621,0.186,0.33,0.079,0.91,0.257,0.078,
Attention,Charlie Puth,Calm,0.593,0.315,0.659,0.082,0.508,0.254,0.383,
We Don’t Talk Anymore,Charlie Puth & Selena Gomez,Romantic,0.286,0.111,0.595,0.027,0.237,0.185,0.343,
See You Again,Wiz Khalifa & Charlie Puth,Romantic,0.845,0.517,0.378,0.088,0.481,0.466,0.332,
Freaks,Surf Curse,Sad,0.742,0.368,0.246,0.044,0.649,0.414,0.338,
Money Trees,Kendrick Lamar,Sad,0.251,0.633,0.939,0.091,0.082,0.349,0.376,
Love Nwantiti,CKay,Romantic,0.731,0.365,0.459,0.102,0.268,0.357,0.24,
Calm Down,Rema,Romantic,0.608,0.367,0.669,0.1,0.769,0.231,0.12,
Jhoome Jo Pathaan,Arijit Singh,Calm,0.261,0.761,0.176,0.075,0.442,0.46,0.266,
Kesariya,Arijit Singh,Energetic,0.544,0.143,0.487,0.072,0.524,0.347,0.31,
Raatan Lambiyan,Jubin Nautiyal,Sad,0.564,0.904,0.075,0.034,0.417,0.364,0.308,
Pehla Nasha,Udit Narayan,Energetic,0.324,0.859,0.505,0.098,0.051,0.431,0.233,
Tum Hi Ho,Arijit Singh,Calm,0.909,0.694,0.918,0.047,0.166,0.137,0.074,
Shayad,Arijit Singh,Romantic,0.837,0.628,0.396,0.07,0.429,0.404,0.18,
Ghungroo,Arijit Singh & Shilpa Rao,Energetic,0.702,0.894,0.085,0.048,0.207,0.098,0.372,
Kabira,Arijit Singh,Romantic,0.547,0.265,0.078,0.033,0.057,0.173,0.255,
Zara Sa,KK,Romantic,0.509,0.17,0.399,0.083,0.803,0.168,0.238,
Aankhon Mein Teri,KK,Happy,0.688,0.313,0.194,0.025,0.932,0.489,0.144,
Tera Hone Laga Hoon,Atif Aslam,Energetic,0.609,0.807,0.071,0.095,0.756,0.428,0.179,
O Bedardeya,Arijit Singh,Energetic,0.247,0.131,0.731,0.052,0.813,0.351,0.363,
Deva Deva,Arijit Singh,Romantic,0.584,0.619,0.463,0.02,0.237,0.364,0.283,
Malang,Arijit Singh,Calm,0.805,0.986,0.31,0.071,0.913,0.281,0.326,
Satranga,Arijit Singh,Happy,0.544,0.862,0.86,0.025,0.195,0.474,0.209,
