song,artist,mood,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,spotify_url
Song_23,Artist_49,Energetic,0.85,0.527,0.496,0.062,0.839,0.396,0.111,
Song_24,Artist_59,Calm,0.677,0.474,0.717,0.055,0.914,0.328,0.176,
Song_25,Artist_42,Sad,0.801,0.798,0.566,0.116,0.448,0.496,0.367,
Song_26,Artist_60,Happy,0.708,0.669,0.948,0.038,0.836,0.142,0.319,
Song_27,Artist_15,Calm,0.63,0.816,0.727,0.029,0.015,0.18,0.245,
Song_28,Artist_62,Calm,0.296,0.904,0.686,0.097,0.781,0.192,0.139,
Song_29,Artist_62,Happy,0.808,0.649,0.751,0.027,0.225,0.233,0.156,
Song_30,Artist_47,Sad,0.815,0.973,0.179,0.104,0.864,0.418,0.306,
Song_31,Artist_62,Happy,0.669,0.641,0.234,0.064,0.011,0.118,0.348,
Song_32,Artist_51,Calm,0.815,0.667,0.693,0.112,0.533,0.388,0.285,
Song_33,Artist_55,Romantic,0.689,0.594,0.495,0.092,0.721,0.203,0.333,
Song_34,Artist_64,Romantic,0.355,0.181,0.729,0.081,0.253,0.301,0.318,
Song_35,Artist_3,Energetic,0.405,0.746,0.143,0.115,0.192,0.316,0.102,
Song_36,Artist_51,Happy,0.361,0.587,0.533,0.06,0.089,0.186,0.198,
Song_37,Artist_7,Happy,0.483,0.501,0.391,0.115,0.317,0.256,0.104,
Song_38,Artist_21,Energetic,0.229,0.91,0.461,0.034,0.536,0.207,0.132,
Song_39,Artist_73,Energetic,0.664,0.365,0.594,0.068,0.119,0.035,0.354,
Song_40,Artist_39,Energetic,0.452,0.566,0.502,0.047,0.364,0.219,0.216,
Song_41,Artist_18,Calm,0.692,0.721,0.536,0.074,0.019,0.049,0.237,
Song_42,Artist_4,Happy,0.489,0.809,0.488,0.036,0.78,0.203,0.112,
Song_43,Artist_60,Calm,0.711,0.509,0.418,0.104,0.131,0.296,0.159,
Song_44,Artist_14,Energetic,0.455,0.849,0.745,0.105,0.276,0.29,0.131,
Song_45,Artist_9,Happy,0.396,0.784,0.061,0.116,0.027,0.331,0.122,
Song_46,Artist_53,Calm,0.572,0.159,0.589,0.035,0.416,0.048,0.273,
Song_47,Artist_2,Calm,0.72,0.141,0.559,0.082,0.8,0.326,0.14,
Song_48,Artist_60,Energetic,0.461,0.653,0.695,0.067,0.379,0.156,0.271,
Song_49,Artist_71,Happy,0.902,0.409,0.589,0.054,0.179,0.2,0.07,
Song_50,Artist_44,Energetic,0.229,0.286,0.794,0.055,0.718,0.429,0.1,
Song_51,Artist_8,Happy,0.513,0.616,0.913,0.061,0.751,0.005,0.146,
Song_52,Artist_47,Romantic,0.926,0.404,0.358,0.09,0.173,0.294,0.259,
Song_53,Artist_35,Sad,0.611,0.578,0.255,0.08,0.735,0.299,0.287,
Song_54,Artist_78,Sad,0.518,0.51,0.431,0.066,0.9,0.198,0.205,
Song_55,Artist_36,Sad,0.626,0.62,0.309,0.028,0.166,0.119,0.206,
Song_56,Artist_50,Energetic,0.632,0.456,0.603,0.028,0.735,0.117,0.304,
Song_57,Artist_4,Romantic,0.749,0.721,0.871,0.02,0.676,0.442,0.056,
Song_58,Artist_2,Happy,0.296,0.26,0.175,0.117,0.455,0.221,0.169,
Song_59,Artist_6,Calm,0.388,0.72,0.141,0.021,0.064,0.165,0.337,
Song_60,Artist_54,Happy,0.635,0.466,0.28,0.03,0.08,0.224,0.261,
Song_61,Artist_4,Calm,0.85,0.878,0.703,0.051,0.811,0.335,0.168,
Song_62,Artist_54,Happy,0.621,0.559,0.584,0.101,0.941,0.073,0.367,
Song_63,Artist_63,Romantic,0.379,0.966,0.142,0.116,0.645,0.225,0.32,
Song_64,Artist_18,Calm,0.71,0.636,0.877,0.099,0.429,0.294,0.143,
Song_65,Artist_44,Energetic,0.755,0.299,0.761,0.089,0.619,0.474,0.276,
Song_66,Artist_34,Happy,0.379,0.831,0.071,0.072,0.569,0.126,0.259,
Song_67,Artist_74,Happy,0.483,0.407,0.636,0.029,0.371,0.18,0.19,
Song_68,Artist_62,Calm,0.601,0.409,0.744,0.116,0.072,0.19,0.178,
Song_69,Artist_14,Energetic,0.572,0.128,0.387,0.096,0.782,0.303,0.17,
Song_70,Artist_48,Energetic,0.492,0.588,0.112,0.084,0.36,0.178,0.266,
Song_71,Artist_15,Romantic,0.423,0.576,0.12,0.096,0.78,0.267,0.205,
Song_72,Artist_72,Energetic,0.275,0.417,0.144,0.092,0.247,0.391,0.341,
Song_73,Artist_78,Energetic,0.24,0.896,0.806,0.084,0.011,0.353,0.284,
Song_74,Artist_62,Energetic,0.919,0.215,0.87,0.118,0.159,0.223,0.074,
Song_75,Artist_40,Sad,0.835,0.394,0.161,0.11,0.45,0.432,0.274,
Song_76,Artist_53,Romantic,0.466,0.386,0.262,0.085,0.898,0.279,0.145,
Song_77,Artist_24,Happy,0.918,0.182,0.199,0.089,0.106,0.27,0.257,
Song_78,Artist_26,Calm,0.708,0.528,0.218,0.025,0.813,0.017,0.288,
Song_79,Artist_60,Happy,0.562,0.712,0.804,0.087,0.505,0.493,0.131,
Song_80,Artist_41,Romantic,0.57,0.555,0.349,0.024,0.786,0.061,0.21,
Song_81,Artist_29,Calm,0.262,0.24,0.33,0.079,0.29,0.116,0.117,
Song_82,Artist_15,Romantic,0.269,0.436,0.255,0.12,0.8,0.026,0.068,
Song_83,Artist_45,Energetic,0.652,0.102,0.597,0.076,0.736,0.32,0.182,
Song_84,Artist_65,Calm,0.615,0.873,0.391,0.067,0.226,0.112,0.177,
Song_85,Artist_71,Energetic,0.36,0.175,0.72,0.051,0.133,0.09,0.398,
Song_86,Artist_9,Happy,0.91,0.632,0.235,0.032,0.826,0.044,0.206,
Song_87,Artist_1,Happy,0.786,0.978,0.759,0.093,0.915,0.052,0.167,
Song_88,Artist_8,Calm,0.285,0.578,0.593,0.039,0.039,0.292,0.253,
Song_89,Artist_63,Calm,0.898,0.922,0.153,0.032,0.697,0.344,0.081,
Song_90,Artist_11,Romantic,0.931,0.31,0.423,0.062,0.865,0.199,0.387,
Song_91,Artist_8,Romantic,0.947,0.776,0.827,0.1,0.816,0.24,0.272,
Song_92,Artist_35,Energetic,0.242,0.573,0.881,0.095,0.917,0.343,0.314,
Song_93,Artist_35,Calm,0.753,0.741,0.469,0.025,0.724,0.009,0.11,
Song_94,Artist_33,Happy,0.609,0.155,0.483,0.066,0.426,0.162,0.193,
Song_95,Artist_5,Romantic,0.729,0.231,0.877,0.072,0.303,0.487,0.198,
Song_96,Artist_41,Romantic,0.926,0.218,0.578,0.084,0.311,0.29,0.338,
Song_97,Artist_28,Happy,0.716,0.712,0.08,0.085,0.691,0.127,0.05,
Song_98,Artist_7,Romantic,0.828,0.852,0.871,0.056,0.711,0.261,0.155,
Song_99,Artist_73,Energetic,0.85,0.767,0.273,0.076,0.198,0.171,0.393,
Song_100,Artist_72,Calm,0.829,0.127,0.57,0.068,0.826,0.266,0.216,
Song_101,Artist_12,Happy,0.52,0.872,0.199,0.108,0.682,0.063,0.184,
Song_102,Artist_34,Calm,0.367,0.415,0.08,0.073,0.539,0.066,0.092,
Song_103,Artist_33,Romantic,0.497,0.453,0.33,0.064,0.453,0.072,0.391,
Song_104,Artist_48,Romantic,0.869,0.193,0.752,0.06,0.521,0.47,0.057,
Song_105,Artist_23,Happy,0.31,0.756,0.3,0.077,0.16,0.366,0.308,
Song_106,Artist_62,Energetic,0.585,0.262,0.248,0.1,0.201,0.081,0.319,
Song_107,Artist_37,Sad,0.375,0.602,0.241,0.074,0.096,0.094,0.135,
Song_108,Artist_44,Happy,0.636,0.848,0.514,0.086,0.154,0.365,0.285,
Song_109,Artist_35,Sad,0.847,0.179,0.928,0.094,0.436,0.078,0.083,
Song_110,Artist_65,Sad,0.86,0.576,0.463,0.072,0.509,0.117,0.14,
Song_111,Artist_47,Energetic,0.378,0.308,0.552,0.063,0.027,0.482,0.326,
Song_112,Artist_78,Sad,0.881,0.405,0.825,0.108,0.759,0.128,0.353,
Song_113,Artist_3,Sad,0.644,0.522,0.532,0.062,0.287,0.331,0.263,
Song_114,Artist_1,Energetic,0.463,0.416,0.216,0.066,0.867,0.489,0.227,
Song_115,Artist_5,Sad,0.731,0.677,0.32,0.119,0.919,0.187,0.106,
Song_116,Artist_14,Sad,0.561,0.527,0.329,0.02,0.184,0.009,0.072,
Song_117,Artist_27,Sad,0.483,0.62,0.408,0.039,0.444,0.122,0.091,
Song_118,Artist_9,Happy,0.729,0.756,0.434,0.058,0.011,0.415,0.13,
Song_119,Artist_79,Happy,0.387,0.596,0.77,0.113,0.572,0.432,0.17,
Song_120,Artist_15,Happy,0.448,0.622,0.364,0.027,0.581,0.384,0.183,
Song_121,Artist_42,Energetic,0.526,0.602,0.471,0.021,0.243,0.057,0.171,
Song_122,Artist_77,Romantic,0.39,0.437,0.612,0.025,0.535,0.398,0.134,
Song_123,Artist_51,Sad,0.504,0.4,0.39,0.029,0.222,0.459,0.228,
Song_124,Artist_63,Sad,0.629,0.901,0.803,0.024,0.161,0.3,0.339,
Song_125,Artist_52,Energetic,0.756,0.641,0.579,0.068,0.622,0.47,0.148,
Song_126,Artist_4,Sad,0.775,0.317,0.315,0.078,0.316,0.413,0.38,
Song_127,Artist_23,Happy,0.817,0.543,0.693,0.047,0.565,0.333,0.356,
Song_128,Artist_15,Romantic,0.758,0.394,0.525,0.06,0.417,0.289,0.107,
Song_129,Artist_43,Calm,0.711,0.931,0.531,0.029,0.935,0.174,0.325,
Song_130,Artist_29,Sad,0.378,0.107,0.483,0.054,0.151,0.08,0.251,
Song_131,Artist_36,Happy,0.5,0.301,0.497,0.072,0.447,0.302,0.248,
Song_132,Artist_13,Calm,0.558,0.425,0.739,0.093,0.65,0.159,0.187,
Song_133,Artist_32,Romantic,0.262,0.534,0.143,0.02,0.382,0.433,0.225,
Song_134,Artist_71,Calm,0.596,0.857,0.351,0.067,0.926,0.497,0.189,
Song_135,Artist_59,Happy,0.527,0.178,0.118,0.05,0.689,0.376,0.239,
Song_136,Artist_28,Calm,0.802,0.817,0.728,0.105,0.628,0.045,0.27,
Song_137,Artist_66,Energetic,0.933,0.15,0.295,0.092,0.722,0.144,0.286,
Song_138,Artist_42,Calm,0.617,0.85,0.858,0.079,0.905,0.055,0.236,
Song_139,Artist_45,Sad,0.442,0.146,0.524,0.048,0.863,0.325,0.302,
Song_140,Artist_62,Sad,0.233,0.116,0.771,0.111,0.691,0.383,0.099,
Song_141,Artist_57,Energetic,0.893,0.72,0.931,0.025,0.714,0.463,0.124,
Song_142,Artist_6,Happy,0.889,0.988,0.806,0.031,0.147,0.219,0.337,
Song_143,Artist_28,Sad,0.39,0.898,0.83,0.059,0.107,0.451,0.163,
Song_144,Artist_28,Romantic,0.722,0.613,0.417,0.032,0.547,0.439,0.058,
Song_145,Artist_44,Sad,0.257,0.916,0.547,0.116,0.027,0.159,0.104,
Song_146,Artist_30,Sad,0.325,0.105,0.278,0.1,0.463,0.434,0.128,
Song_147,Artist_62,Happy,0.363,0.968,0.227,0.046,0.208,0.188,0.385,
Song_148,Artist_75,Calm,0.421,0.537,0.505,0.079,0.335,0.148,0.251,
Song_149,Artist_62,Sad,0.947,0.743,0.586,0.118,0.739,0.325,0.376,
Song_150,Artist_1,Energetic,0.723,0.831,0.355,0.108,0.895,0.164,0.251,
Song_151,Artist_27,Calm,0.488,0.739,0.562,0.08,0.078,0.315,0.218,
Song_152,Artist_62,Romantic,0.753,0.576,0.849,0.11,0.512,0.305,0.16,
Song_153,Artist_77,Happy,0.886,0.524,0.551,0.119,0.84,0.282,0.262,
Song_154,Artist_3,Romantic,0.919,0.846,0.699,0.094,0.088,0.19,0.099,
Song_155,Artist_70,Calm,0.243,0.283,0.775,0.026,0.785,0.274,0.364,
Song_156,Artist_72,Calm,0.496,0.962,0.94,0.06,0.346,0.298,0.34,
Song_157,Artist_27,Calm,0.28,0.733,0.593,0.104,0.313,0.273,0.161,
Song_158,Artist_9,Romantic,0.452,0.278,0.776,0.043,0.929,0.222,0.383,
Song_159,Artist_62,Calm,0.327,0.755,0.916,0.103,0.199,0.007,0.339,
Song_160,Artist_37,Romantic,0.685,0.572,0.9,0.032,0.662,0.294,0.283,
Song_161,Artist_51,Calm,0.491,0.729,0.177,0.025,0.782,0.084,0.093,
Song_162,Artist_44,Energetic,0.372,0.783,0.416,0.058,0.049,0.321,0.217,
Song_163,Artist_24,Calm,0.399,0.178,0.342,0.024,0.64,0.38,0.227,
Song_164,Artist_79,Romantic,0.47,0.55,0.128,0.116,0.904,0.25,0.131,
Song_165,Artist_59,Sad,0.395,0.929,0.62,0.103,0.127,0.271,0.078,
Song_166,Artist_32,Calm,0.54,0.385,0.712,0.1,0.852,0.476,0.322,
Song_167,Artist_52,Sad,0.224,0.629,0.813,0.083,0.569,0.424,0.093,
Song_168,Artist_62,Energetic,0.41,0.429,0.16,0.042,0.59,0.457,0.258,
Song_169,Artist_58,Happy,0.508,0.504,0.839,0.072,0.586,0.407,0.378,
Song_170,Artist_52,Energetic,0.652,0.588,0.629,0.08,0.291,0.054,0.357,
Song_171,Artist_12,Calm,0.403,0.589,0.684,0.073,0.889,0.074,0.147,
Song_172,Artist_39,Sad,0.3,0.28,0.87,0.046,0.901,0.263,0.348,
Song_173,Artist_2,Sad,0.257,0.709,0.612,0.072,0.598,0.123,0.05,
Song_174,Artist_3,Romantic,0.905,0.178,0.352,0.069,0.746,0.238,0.056,
Song_175,Artist_56,Sad,0.512,0.224,0.793,0.12,0.586,0.197,0.261,
Song_176,Artist_59,Romantic,0.636,0.102,0.377,0.11,0.465,0.275,0.178,
Song_177,Artist_2,Happy,0.889,0.204,0.081,0.066,0.631,0.373,0.185,
Song_178,Artist_2,Calm,0.262,0.521,0.798,0.082,0.53,0.358,0.248,
Song_179,Artist_54,Romantic,0.857,0.639,0.361,0.095,0.572,0.261,0.117,
Song_180,Artist_1,Happy,0.614,0.807,0.746,0.023,0.747,0.411,0.124,
Song_181,Artist_19,Sad,0.324,0.195,0.376,0.109,0.462,0.215,0.22,
Song_182,Artist_2,Sad,0.508,0.857,0.825,0.106,0.048,0.448,0.314,
Song_183,Artist_53,Happy,0.783,0.764,0.248,0.066,0.164,0.036,0.267,
Song_184,Artist_44,Sad,0.56,0.464,0.927,0.059,0.422,0.477,0.154,
Song_185,Artist_32,Happy,0.939,0.93,0.752,0.047,0.691,0.327,0.201,
Song_186,Artist_70,Romantic,0.483,0.982,0.153,0.068,0.568,0.19,0.11,
Song_187,Artist_32,Romantic,0.762,0.282,0.559,0.024,0.621,0.099,0.076,
Song_188,Artist_68,Happy,0.495,0.438,0.937,0.105,0.461,0.24,0.324,
Song_189,Artist_55,Romantic,0.822,0.925,0.474,0.024,0.589,0.097,0.143,
Song_190,Artist_75,Romantic,0.627,0.742,0.214,0.053,0.319,0.083,0.112,
Song_191,Artist_56,Romantic,0.248,0.143,0.486,0.113,0.452,0.309,0.292,
Song_192,Artist_17,Energetic,0.228,0.796,0.511,0.094,0.71,0.262,0.266,
Song_193,Artist_38,Calm,0.3,0.837,0.718,0.048,0.83,0.335,0.272,
Song_194,Artist_24,Sad,0.21,0.768,0.679,0.045,0.418,0.465,0.13,
Song_195,Artist_69,Energetic,0.257,0.812,0.412,0.021,0.051,0.266,0.131,
Song_196,Artist_70,Romantic,0.719,0.834,0.246,0.09,0.162,0.29,0.127,
Song_197,Artist_11,Happy,0.601,0.266,0.631,0.025,0.03,0.045,0.111,
Song_198,Artist_16,Romantic,0.762,0.31,0.43,0.073,0.624,0.359,0.28,
Song_199,Artist_73,Calm,0.885,0.664,0.169,0.116,0.322,0.2,0.347,
Song_200,Artist_59,Romantic,0.639,0.908,0.861,0.031,0.52,0.488,0.304,
